event_time,event_type,device_name,src_ip,threat_level,category,attack_function,attack_step,signature,dst_ip,protocol,src_port,dst_port,bytes_sent,bytes_received
2025-03-09 15:53:18,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,3411282,1687756
2025-03-09 15:43:18,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,3192448,1580544
2025-03-09 15:33:17,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,2973908,1472940
2025-03-09 15:23:16,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,2762424,1365532
2025-03-09 15:13:16,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,2564954,1258320
2025-03-09 15:03:15,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,2351314,1150520
2025-03-09 14:53:15,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,2132578,1042524
2025-03-09 14:43:15,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1913940,935116
2025-03-09 14:33:15,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1698046,828492
2025-03-09 14:23:14,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1481662,722260
2025-03-09 14:13:14,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1259790,614656
2025-03-09 14:03:14,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1037624,506660
2025-03-09 13:53:13,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,818888,399840
2025-03-09 13:43:12,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,602112,294196
2025-03-09 13:37:10,Alert,WxP2_CMA,174.35.50.197,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,172.17.135.176,ICMP/unknown,0,0,74,0
2025-03-09 13:36:31,Alert,WxP2_CMA,10.174.228.60,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.174,ICMP/unknown,0,0,74,0
2025-03-09 13:33:12,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,379750,187768
2025-03-09 13:23:12,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,164150,80164
2025-03-09 13:17:19,Alert,WxP2_CMA,10.174.228.60,20,可疑行为,其它可疑行为,初始化访问,TCP_协议握手_SSH连接,10.174.228.180,TCP/unknown,62651,22,334,150
2025-03-09 13:17:19,Alert,WxP2_CMA,10.174.228.60,20,可疑行为,其它可疑行为,初始化访问,TCP_协议握手_SSH连接,10.174.228.180,TCP/unknown,62651,22,416,150
2025-03-09 13:13:50,Alert,WxP2_CMA,174.35.50.197,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,172.17.167.107,ICMP/unknown,0,0,74,0
2025-03-09 13:13:11,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,2653448,907578
2025-03-09 13:03:10,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,2425794,830844
2025-03-09 13:02:49,Alert,WxP2_CMA,174.35.50.197,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,172.17.167.107,ICMP/unknown,0,0,74,0
2025-03-09 12:53:10,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,2191280,750680
2025-03-09 12:49:18,Alert,WxP2_CMA,174.35.50.197,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,172.17.167.107,ICMP/unknown,0,0,74,0
2025-03-09 12:47:00,Alert,WxP2_CMA,174.35.65.33,20,可疑行为,其它可疑行为,初始化访问,HTTP_可疑行为_curl工具_远程访问,174.35.64.31,TCP/http,54878,80,566,856
2025-03-09 12:43:09,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1954218,668752
2025-03-09 12:33:08,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1718626,585648
2025-03-09 12:23:07,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1482446,504700
2025-03-09 12:13:06,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1247932,425712
2025-03-09 12:03:05,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,1012830,341628
2025-03-09 11:57:15,Alert,WxP2_CMA,10.174.244.11,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.243.231,ICMP/unknown,0,0,98,0
2025-03-09 11:53:04,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,774494,262738
2025-03-09 11:43:04,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,539882,181888
2025-03-09 11:33:03,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,300762,100352
2025-03-09 11:32:06,Alert,WxP2_CMA,174.35.58.57,30,攻击利用,SQL注入,初始化访问,HTTP_注入攻击_算法_请求体SQL注入,174.35.70.121,TCP/http,49301,3000,29090,351532
2025-03-09 11:23:02,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,64484,20580
2025-03-09 11:13:02,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,473046,167090
2025-03-09 11:05:35,Alert,WxP2_CMA,10.174.228.60,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.139,ICMP/unknown,0,0,74,0
2025-03-09 11:03:01,Alert,WxP2_CMA,174.35.64.182,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.100,ICMP/unknown,0,0,235396,85456
